time;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440
3.50;0.082734435;0.051924822;0.067329628;0.051924822;0.05375918;0.10751836;0.225228894;0.282996918;0.40623537;0.271443313;0.159758467;0.075032031;0.044222418;0.04807362;0.040371217;0.044799317;0.098558497;0.159758467;0.171312072;0.313806531;0.186716878;0.121246451;0.090436838;0.078883233;0.055776023;0.04807362;0.05375918;0.111998292;0.259889709;0.398532967;0.402384168;0.271443313;0.152056064
3.75;0.079148833;0.052190422;0.063744027;0.052190422;0.049279249;0.120958155;0.271708914;0.387244962;0.545144228;0.398798567;0.194684881;0.075297631;0.044488019;0.04833922;0.040636817;0.044799317;0.10751836;0.198536083;0.213940889;0.421905776;0.248601704;0.14461926;0.090702438;0.063744027;0.056041623;0.04833922;0.049279249;0.125438087;0.356435349;0.491227405;0.522037018;0.42960818;0.19083368
4.00;0.082867235;0.052057622;0.063611227;0.04820642;0.05375918;0.13439795;0.364004952;0.583523444;0.679803484;0.606630654;0.256171307;0.075164831;0.044355219;0.04820642;0.040504017;0.044799317;0.120958155;0.260022509;0.298534525;0.583523444;0.42947538;0.186849678;0.090569638;0.07131363;0.055908823;0.04820642;0.049279249;0.138877882;0.518053017;0.606630654;0.641291468;0.625886662;0.275427315
4.25;0.082867235;0.052057622;0.063611227;0.04820642;0.05375918;0.152317677;0.548862629;0.737571508;0.787637129;0.752976315;0.398665767;0.075164831;0.044355219;0.04820642;0.040504017;0.044799317;0.138877882;0.352451347;0.487243404;0.714464299;0.648993871;0.252320105;0.090569638;0.094420839;0.055908823;0.04820642;0.049279249;0.161277541;0.675952283;0.733720307;0.756827516;0.783785928;0.42947538
4.50;0.083000035;0.052190422;0.063744027;0.04833922;0.049279249;0.179197267;0.803174736;0.895603574;0.895603574;0.887901171;0.660680276;0.075297631;0.044488019;0.04833922;0.036785615;0.044799317;0.161277541;0.533590623;0.76466272;0.83783555;0.826281945;0.402649768;0.090702438;0.083000035;0.052190422;0.04833922;0.049279249;0.183677199;0.826281945;0.849389155;0.841686752;0.903305978;0.699192292
4.75;0.079016033;0.052057622;0.063611227;0.04820642;0.05375918;0.201596926;0.987899613;0.995602016;0.984048411;0.995602016;0.891619573;0.075164831;0.044355219;0.04820642;0.036652815;0.044799317;0.188157131;0.768381121;0.937833992;0.937833992;0.964792403;0.76452992;0.090569638;0.079016033;0.052057622;0.04820642;0.049279249;0.215036721;0.972494807;0.945536395;0.93398279;1.014858024;0.907024379
5.00;0.079148833;0.052190422;0.063744027;0.04833922;0.049279249;0.232956447;1.072758848;1.080461252;1.07661005;1.084312453;1.030395631;0.079148833;0.040636817;0.04833922;0.036785615;0.040319385;0.219516652;0.907157179;1.022693228;1.022693228;1.084312453;1.022693228;0.090702438;0.102256043;0.052190422;0.04833922;0.049279249;0.250876174;1.103568461;1.003437219;1.022693228;1.122824469;1.084312453
5.25;0.083000035;0.052190422;0.063744027;0.04833922;0.05375918;0.273275833;1.165187687;1.145931679;1.161336485;1.180592494;1.103568461;0.075297631;0.044488019;0.04833922;0.036785615;0.040319385;0.255356106;1.049651639;1.118973268;1.161336485;1.188294897;1.138229276;0.090702438;0.090702438;0.052190422;0.04833922;0.049279249;0.291195559;1.207550905;1.09971726;1.130526873;1.226806913;1.192146098
5.50;0.078883233;0.051924822;0.063478427;0.04807362;0.049279249;0.318075149;1.245797321;1.203434103;1.249648522;1.288160539;1.176475692;0.078883233;0.044222418;0.04807362;0.036520015;0.040319385;0.300155423;1.207285305;1.241946119;1.342077361;1.303565345;1.207285305;0.094288039;0.113544047;0.055776023;0.044222418;0.049279249;0.34495474;1.29201174;1.238094918;1.288160539;1.345928563;1.26890453
5.75;0.083000035;0.04833922;0.063744027;0.04833922;0.049279249;0.37183433;1.303830945;1.31538455;1.334640558;1.403962187;1.092014857;0.075297631;0.040636817;0.04833922;0.036785615;0.040319385;0.353914603;1.319235752;1.319235752;1.342342961;1.350045364;1.061205244;0.09455364;0.090702438;0.056041623;0.044488019;0.044799317;0.403193851;1.326938155;1.276872534;1.33849176;1.31538455;1.222955711
6.00;0.079016033;0.04820642;0.059760025;0.04820642;0.049279249;0.439033305;1.384573379;1.446192605;1.426936597;1.434639;1.245930121;0.075164831;0.040504017;0.04820642;0.036652815;0.040319385;0.416633646;1.373019774;1.38842458;1.426936597;1.38842458;1.215120508;0.094420839;0.086718436;0.063611227;0.044355219;0.044799317;0.474872758;1.403829387;1.38842458;1.473151016;1.396126984;1.141947677
6.25;0.079281633;0.04847202;0.060025625;0.044620819;0.049279249;0.515192143;1.438755801;1.596655067;1.573547858;1.561994253;1.546589447;0.075430432;0.044620819;0.04847202;0.036918415;0.031359522;0.492792485;1.404094987;1.41179739;1.515779834;1.450309406;1.307814947;0.09468644;0.098537641;0.056174423;0.044620819;0.044799317;0.555511529;1.469565414;1.481119019;1.581250261;1.515779834;1.180725294
6.50;0.079148833;0.04833922;0.059892825;0.044488019;0.044799317;0.609270709;1.480986219;1.658141493;1.619629477;1.646587888;1.638885485;0.079148833;0.040636817;0.044488019;0.036785615;0.040319385;0.577911187;1.423218195;1.50794463;1.584968663;1.565712655;1.276872534;0.09455364;0.113809648;0.063744027;0.044488019;0.044799317;0.654070026;1.561861453;1.623480679;1.577266259;1.669695098;1.419366993
6.75;0.083000035;0.04833922;0.059892825;0.044488019;0.044799317;0.716789069;1.661992695;1.816040759;1.76982634;1.777528743;1.688951106;0.079148833;0.040636817;0.044488019;0.036785615;0.035839453;0.680949616;1.477135018;1.658141493;1.712058316;1.727463122;1.569563856;0.09455364;0.09455364;0.056041623;0.044488019;0.040319385;0.766068318;1.6735463;1.750570332;1.727463122;1.873808783;1.631183082
7.00;0.079148833;0.04833922;0.059892825;0.044488019;0.044799317;0.833267293;1.819891961;1.931576807;1.885362388;1.96238642;1.850701574;0.075297631;0.040636817;0.044488019;0.036785615;0.040319385;0.797427839;1.581117461;1.816040759;1.816040759;1.893064791;1.715909517;0.09455364;0.09455364;0.059892825;0.044488019;0.044799317;0.895986336;1.789082348;1.835296767;1.916172001;2.039410453;1.846850372
