"TestId"	"AddId"	"concentration"	"reliability_tag"	"log.x"	"log.y"	"nboot.gc"	"mu.linfit"	"tD.linfit"	"lambda.linfit"	"dY.linfit"	"A.linfit"	"tmu.start.linfit"	"tmu.end.linfit"	"r2mu.linfit"	"reliable_fit.linfit"	"reliable_fit2.linfit"	"mu.spline"	"tD.spline"	"tmax.spline"	"lambda.spline"	"y0.spline"	"A.spline"	"dY.spline"	"integral.spline"	"reliable_fit.spline"	"reliable_fit2.spline"	"smooth.spline"
"SEM1.4 uvrYE197K"	"3"	"60"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.556962932914704"	"1.24451222800871"	"3.26386253388128"	"2.852"	"2.952"	"5.5"	"8.504167"	"0.999471931098526"	"TRUE"	"FALSE"	"0.546969057174257"	"1.26725117530573"	"6.75"	"3.15846324273142"	"0.0907452564132836"	"2.97647136643353"	"2.88572611002025"	"192.170519508246"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"1"	"80"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.541003880886126"	"1.28122404487121"	"6.37208248724332"	"3.316"	"3.404"	"8.504167"	"11.75417"	"0.999689536075282"	"TRUE"	"FALSE"	"0.53436116999402"	"1.29715110206773"	"10.25417"	"6.30520965697075"	"0.0901619650864616"	"3.38246922438229"	"3.29230725929583"	"198.363630796998"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"2"	"80"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.523393640426659"	"1.32433244697988"	"6.70525972309302"	"3.299"	"3.389"	"9.004167"	"12.50417"	"0.99957333962362"	"TRUE"	"FALSE"	"0.518597247213446"	"1.33658090991497"	"10.75"	"6.64352915860282"	"0.0920308407129418"	"3.3110881474284"	"3.21905730671546"	"197.297128938556"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"3"	"80"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.51296212416053"	"1.35126386123399"	"5.81499015063258"	"3.304"	"3.403"	"8.254167"	"11.50417"	"0.999698180586235"	"TRUE"	"FALSE"	"0.508585528617655"	"1.36289206349212"	"9.75"	"5.75381362697245"	"0.0976633450174678"	"3.36079319432096"	"3.26312984930349"	"193.427449091194"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"1"	"100"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.511151223169063"	"1.35605110413809"	"15.871823560705"	"3.743"	"3.829"	"18.50417"	"22.00417"	"0.999418581881509"	"TRUE"	"FALSE"	"0.500176329857462"	"1.38580564329678"	"20"	"15.7492993131964"	"0.0857513472945581"	"3.76624306898165"	"3.68049172168709"	"180.521722907437"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"2"	"100"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.494802105174779"	"1.40085737977025"	"16.3184885622166"	"3.721"	"3.812"	"19.00417"	"22.50417"	"0.999508656052002"	"TRUE"	"FALSE"	"0.489134907504658"	"1.41708794429755"	"20.50417"	"16.2450861170393"	"0.0912270324859579"	"3.72296848178543"	"3.63174144929947"	"175.197328490178"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"3"	"100"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.473568546478154"	"1.46366811249345"	"15.1737244454591"	"3.637"	"3.738"	"17.5"	"21.50417"	"0.999615765682757"	"TRUE"	"FALSE"	"0.4772400744605"	"1.45240774539632"	"19.25417"	"15.1924157560439"	"0.100845965844778"	"3.67641107335737"	"3.57556510751259"	"173.249424113322"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"1"	"120"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.466439458629285"	"1.48603890116175"	"35.4436780208812"	"4.079"	"4.175"	"38.50417"	"42.25417"	"0.999342090051756"	"TRUE"	"FALSE"	"0.461996499516094"	"1.50032994034796"	"40.00417"	"35.3742727326155"	"0.094466152939721"	"4.10509643930033"	"4.01063028636061"	"117.918673599959"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"2"	"120"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.448933385674125"	"1.54398670867195"	"43.1531346928565"	"4.166"	"4.263"	"46.50417"	"50.25417"	"0.999422603533988"	"TRUE"	"FALSE"	"0.450980133528225"	"1.53697941223516"	"48.25417"	"43.1604119760074"	"0.0964051066598826"	"4.1189641195422"	"4.02255901288232"	"90.5125541972775"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"3"	"120"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.435547209470417"	"1.59143983818136"	"31.9383325553222"	"4.093"	"4.199"	"35.00417"	"39.25417"	"0.998669727337686"	"TRUE"	"FALSE"	"0.444860284919938"	"1.55812331209717"	"36.75417"	"32.0232960828001"	"0.106103808350445"	"4.0850403341716"	"3.97893652582115"	"125.046634765382"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"1"	"140"	"TRUE"	"FALSE"	"TRUE"	"0"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	NA	NA	"FALSE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"2"	"140"	"TRUE"	"FALSE"	"TRUE"	"0"	"0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	NA	NA	"FALSE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K"	"3"	"140"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.0462844217853598"	"14.9758202397852"	"59.1609286782171"	"0.093"	"0.217"	"64.25417"	"67.25417"	"0.986069942466187"	"TRUE"	"FALSE"	"0.0542929092804687"	"12.7668085896679"	"71.50417"	"61.5215404184378"	"0.124444036388264"	"0.21612155586615"	"0.0916775194778859"	"9.0139892330182"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"1"	"20"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.672532148772385"	"1.03065285700496"	"1.40848630222915"	"1.353"	"1.468"	"3.504167"	"5.004167"	"0.998149829469664"	"TRUE"	"FALSE"	"0.551822620700462"	"1.25610504998888"	"3.254167"	"0.824133822851356"	"0.0972098866491746"	"1.4882885101078"	"1.39107862345863"	"164.700149390653"	"TRUE"	"FALSE"	"0.55"
"SEM1.4 uvrYE197K fabBL77P"	"2"	"20"	"TRUE"	"FALSE"	"TRUE"	"0"	"0.641784304475868"	"1.08003136836764"	"1.30962922063143"	"1.341"	"1.461"	"3.254167"	"5.004167"	"0.999337414833353"	"TRUE"	"FALSE"	"0.545687741294877"	"1.27022677642558"	"3.254167"	"0.821005846287604"	"0.0994634443044287"	"1.48150158236957"	"1.38203813806514"	"161.502920385864"	"TRUE"	"FALSE"	"0.55"
